FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.36787,0.45075,0.2301,0.35539,0.46926
0.28401,0.53573,0.24634,0.28639,0.5614
0.29793,0.49508,0.22998,0.34263,0.45069
0.34909,0.26913,0.34497,0.35824,0.44867
0.38877,0.47266,0.31238,0.38911,0.49073
0.38207,0.47843,0.29565,0.4996,0.38581
0.50427,0.39197,0.34509,0.54487,0.38893
0.51627,0.3836,0.27917,0.47527,0.42631
0.48908,0.4031,0.31213,0.48235,0.48406
0.51135,0.41722,0.36108,0.53466,0.39321
0.46316,0.3879,0.22998,0.36661,0.41005
0.36521,0.41968,0.29565,0.31065,0.44025
0.40475,0.36629,0.21362,0.48659,0.30038
0.4847,0.32147,0.29541,0.51368,0.50506
0.48213,0.33602,0.41064,0.36368,0.49737
0.31339,0.43873,0.46008,0.27884,0.42094
0.27771,0.48689,0.62415,0.22513,0.46318
0.21634,0.47849,0.64075,0.24271,0.45535
0.30067,0.45626,0.64063,0.33969,0.46427
0.29237,0.42101,0.31177,0.27096,0.33089
0.27032,0.36483,0.45996,0.3387,0.39465
0.32532,0.4856,0.22998,0.24949,0.62344
0.25879,0.53288,0.37793,0.2804,0.48758
0.31086,0.43523,0.24609,0.33388,0.34619
0.41431,0.37349,0.21362,0.49549,0.28087
0.48883,0.2981,0.67334,0.47052,0.2693
0.48497,0.38482,0.37805,0.4384,0.4677
0.27802,0.56404,0.36145,0.23332,0.58171
0.24343,0.56709,0.32861,0.29907,0.64187
0.24179,0.57106,0.32861,0.24494,0.52285
0.23933,0.56236,0.4104,0.28383,0.59676
0.29855,0.5411,0.22998,0.31796,0.4356
0.29838,0.52978,0.45984,0.24867,0.54635
0.2342,0.51961,0.37781,0.23912,0.5033
0.31485,0.51004,0.29578,0.33185,0.19836
0.3293,0.22511,0.31201,0.31975,0.36225
0.33809,0.53319,0.44348,0.3485,0.54833
0.31984,0.53662,0.39441,0.3211,0.50177
0.31011,0.55907,0.80505,0.32898,0.62682
0.29974,0.57623,0.2959,0.26682,0.53949
0.27772,0.3999,0.19702,0.28184,0.31752
0.31344,0.36379,0.34485,0.33529,0.65065
0.32362,0.56198,0.70654,0.34385,0.60672
0.32547,0.57397,0.2793,0.31093,0.65031
0.30982,0.61657,0.27954,0.2831,0.63952
0.2617,0.60071,0.42712,0.39207,0.54985
0.41035,0.55449,0.45996,0.45381,0.57823
0.46329,0.51768,0.52576,0.39473,0.58006
0.39047,0.59692,0.32849,0.31985,0.64455
0.33118,0.61027,0.42737,0.33773,0.52558
0.31118,0.5716,0.50928,0.43538,0.49254
0.44666,0.47666,0.36157,0.46808,0.50617
0.45531,0.51137,0.2793,0.42407,0.49214
0.40053,0.49855,0.45984,0.42393,0.39834
0.37853,0.43906,0.27917,0.34168,0.4321
0.39116,0.52494,0.26282,0.28389,0.66933
0.28098,0.65442,0.37769,0.25325,0.60431
0.30082,0.49041,0.31226,0.34054,0.4431
0.30813,0.32571,0.24646,0.42967,0.59313
0.4542,0.51779,1.00208,0.4703,0.49742
0.47002,0.53993,0.34473,0.50517,0.5766
0.49421,0.54633,0.11487,0.48522,0.55465
0.47567,0.39528,0.2301,0.50137,0.34539
0.45307,0.4933,0.19727,0.44222,0.6665
0.4132,0.58673,0.68994,0.30134,0.59032
0.32316,0.59251,0.31226,0.49454,0.57279
0.46909,0.58651,0.27917,0.42055,0.58084
0.43604,0.55706,0.27917,0.46875,0.5499
0.4188,0.51323,0.27942,0.35511,0.49701
0.29221,0.57279,0.2301,0.21676,0.65928
0.20718,0.62444,0.42712,0.22863,0.61172
0.26778,0.62984,0.26294,0.40686,0.58433
