FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.32685,0.1445,0.19702,0.2343,0.10591
0.18181,0.12677,0.31213,0.14395,0.14286
0.23196,0.26212,0.2135,0.34046,0.27484
0.6178,0.26212,0.24646,0.72105,0.30946
0.79886,0.3238,0.2301,0.9127,0.37632
0.84944,0.34875,0.2793,0.74333,0.31798
0.34212,0.18671,0.2793,0.23956,0.16456
0.22245,0.17265,0.31213,0.15119,0.18206
0.2623,0.17695,0.21375,0.41059,0.17798
0.49642,0.23893,0.06604,0.64186,0.33968
0.76177,0.41614,0.34485,0.79426,0.47277
0.86232,0.55373,0.32861,0.64546,0.56496
0.36234,0.66087,0.31226,0.22128,0.58622
0.16668,0.50941,0.24622,0.1283,0.43421
0.13803,0.33242,0.37781,0.14567,0.30024
0.24579,0.31346,0.21362,0.48747,0.32142
0.79811,0.45671,0.19714,0.87351,0.51924
0.84878,0.50782,0.2793,0.74758,0.54092
0.75494,0.5509,0.04932,0.72717,0.57527
0.42209,0.6328,0.22974,0.21863,0.72873
0.17929,0.76569,0.46008,0.36342,0.71864
0.5324,0.67167,0.2135,0.70362,0.61163
0.77465,0.56828,0.2301,0.83818,0.51387
0.84695,0.49906,0.36096,0.6598,0.50393
0.50726,0.49948,0.19751,0.24728,0.58079
0.18831,0.63794,0.62439,0.41868,0.65797
0.54865,0.63873,0.24548,0.76612,0.68429
0.81599,0.73194,0.2959,0.8589,0.75034
0.85484,0.78566,0.32849,0.70982,0.78729
0.36654,0.76282,0.2959,0.27589,0.6671
0.16925,0.66674,0.47644,0.35603,0.61216
0.62928,0.54954,0.22998,0.84815,0.5245
0.87009,0.54072,0.54211,0.75228,0.48709
0.5922,0.50995,0.09839,0.38546,0.52909
0.21656,0.60143,0.27905,0.12639,0.6046
0.15894,0.62638,0.44373,0.3388,0.63997
0.79685,0.68647,0.32886,0.88085,0.72596
0.8657,0.73631,0.41052,0.75773,0.75131
0.19756,0.3852,0.26306,0.15569,0.32595
0.1979,0.31594,0.32874,0.43252,0.20896
0.59094,0.24267,0.19702,0.84043,0.3946
0.85089,0.46404,0.39417,0.91855,0.54492
0.80804,0.47581,0.2301,0.51944,0.27513
0.44678,0.24836,0.2301,0.34579,0.23436
0.30489,0.31062,0.21497,0.17472,0.46339
0.13746,0.53337,0.22986,0.11606,0.60884
0.18275,0.67057,0.22986,0.34724,0.83817
0.83754,0.57318,0.44373,0.91061,0.62392
0.85372,0.62445,0.31201,0.69871,0.62093
0.469,0.58053,0.19727,0.30787,0.50453
0.17702,0.47971,0.34509,0.35083,0.40888
0.54168,0.423,0.22998,0.70126,0.23349
0.79085,0.21435,0.27905,0.89526,0.16131
0.86318,0.18397,0.34497,0.66742,0.14038
0.57628,0.19048,0.2135,0.45256,0.37465
0.23665,0.3582,0.19714,0.15588,0.38597
0.13824,0.45251,0.24658,0.11986,0.52231
0.37703,0.58464,0.19714,0.72566,0.69333
0.77055,0.60127,0.2301,0.78239,0.52618
0.84084,0.54526,0.27966,0.89089,0.55586
0.24218,0.35475,0.22974,0.19749,0.35438
0.19027,0.32549,0.29553,0.31565,0.25896
0.55641,0.15889,0.27942,0.75539,0.16725
0.8626,0.15349,0.39417,0.89714,0.12858
0.80401,0.16739,0.21399,0.59824,0.27193
0.45698,0.32913,0.21375,0.27632,0.38977
0.18522,0.44517,0.23071,0.15464,0.49248
0.17551,0.54166,0.24634,0.39052,0.60246
0.6155,0.59586,0.36133,0.80417,0.54668
0.83718,0.537,0.29614,0.87992,0.50485
0.80026,0.47184,0.2301,0.68613,0.44525
0.30361,0.49508,0.22998,0.19395,0.54596
0.19596,0.53023,0.49304,0.33693,0.49202
